report_date,report_source,report_period,ext_massacres,ext_killed,ext_killed_children,ext_killed_women,ext_injured,ext_civdef_killed,ext_med_killed,ext_press_killed
10/7/2023,mohtel,24,0,232,0,0,1610,0,6,1
10/8/2023,mohtel,24,0,138,78,41,178,0,0,0
10/9/2023,mohtel,24,8,190,13,20,483,0,0,2
10/10/2023,mohtel,24,0,340,169,169,1729,0,0,4
10/11/2023,gmotel,24,15,200,138,0,1184,0,4,0
10/12/2023,mohtel,24,0,317,102,46,579,0,1,0
10/13/2023,missing,24,0,483,0,116,1475,0,0,0
10/14/2023,gmotel,24,0,328,100,208,1476,0,0,0
10/15/2023,gmotel,24,0,442,100,135,486,0,0,0
10/16/2023,gmotel,24,348,138,153,201,1650,7,26,0
10/17/2023,gmotel,24,23,192,87,0,607,0,0,9
10/18/2023,mohtel,24,0,478,60,0,608,0,0,0
10/19/2023,mohtel,24,0,307,524,0,428,0,7,0
10/20/2023,mohtel,24,37,352,232,0,669,0,2,0
10/21/2023,mohtel,24,29,248,0,31,399,0,5,0
10/22/2023,mohtel,24,24,266,117,56,684,0,3,0
10/23/2023,mohtel,24,23,436,182,96,1028,0,3,0
10/24/2023,mohtel,24,137,704,305,173,1024,0,8,0
10/25/2023,mohtel,24,44,756,344,292,1142,0,8,0
10/26/2023,mohtel,24,43,481,334,16,1043,0,28,0
10/27/2023,mohtel,24,41,298,0,126,485,0,3,0
10/28/2023,missing,24,0,377,130,190,637,0,0,0
10/29/2023,mohtel,24,109,302,156,146,638,0,12,0
10/30/2023,gmotel,24,27,304,133,74,806,11,8,19
10/31/2023,mohtel,24,18,216,85,51,495,0,6,0
11/1/2023,mohtel,24,24,280,108,65,697,0,2,0
11/2/2023,mohtel,24,15,256,110,74,671,0,2,0
11/3/2023,mohtel,24,32,196,66,79,605,0,2,0
11/4/2023,mohtel,24,9,228,74,104,642,0,14,0
11/5/2023,mohtel,24,25,285,108,41,650,0,25,0
11/6/2023,gmotel,24,0,252,100,60,192,0,17,0
11/7/2023,mohtel,24,40,306,129,109,956,0,0,0
11/8/2023,mohtel,24,27,241,87,104,519,0,1,0
11/9/2023,mohtel,24,20,249,88,95,430,0,2,0
11/10/2023,mohtel,24,12,260,94,109,585,2,3,14
11/11/2023,missing,24,0,51,34,17,355,0,0,0
11/12/2023,gmotel,24,12,51,69,56,355,0,0,0
11/13/2023,gmotel,24,11,60,21,30,800,1,0,2
11/14/2023,gmotel,24,12,80,20,15,200,1,0,0
11/15/2023,gmotel,24,35,180,60,15,600,0,2,0
11/16/2023,missing,24,0,500,290,140,100,0,0,0
11/17/2023,gmotel,24,70,0,0,0,100,0,0,0
11/18/2023,gmotel,24,30,300,0,0,0,0,0,5
11/19/2023,gmotel,24,30,700,500,200,0,0,1,4
11/20/2023,gmotel,24,10,300,100,50,1000,0,0,0
11/21/2023,gmotel,24,14,828,240,370,2000,0,4,0
11/22/2023,gmotel,24,30,404,160,80,2000,3,0,4
