report_date,killed,killed_children,Injured,injured_children,settler_attacks,flash_source
10/7/2023,3,0,23,1,3,un
10/8/2023,10,1,171,0,6,un
10/9/2023,2,2,101,33,10,un
10/10/2023,4,0,37,5,10,un
10/11/2023,7,0,95,23,10,un
10/12/2023,7,2,73,19,10,un
10/13/2023,10,3,200,11,14,un
10/14/2023,11,5,450,14,4,un
10/15/2023,7,2,23,7,3,un
10/16/2023,0,0,3,0,0,un
10/17/2023,0,1,54,4,12,un
10/18/2023,3,2,34,5,4,un
10/19/2023,15,2,140,7,14,un
10/20/2023,9,6,0,5,2,un
10/21/2023,0,1,254,16,1,un
10/22/2023,3,0,46,7,10,un
10/23/2023,4,1,4,0,7,un
10/24/2023,0,0,95,3,16,un
10/25/2023,7,3,56,0,2,un
10/26/2023,1,1,57,8,8,un
10/27/2023,5,1,54,6,0,un
10/28/2023,1,0,41,6,8,un
10/29/2023,6,0,139,13,13,un
10/30/2023,6,0,8,8,4,un
10/31/2023,2,1,1,0,7,un
11/1/2023,5,1,55,33,8,un
11/2/2023,4,6,7,2,0,un
11/3/2023,3,1,88,3,9,un
11/4/2023,1,1,53,2,3,un
11/5/2023,5,0,24,3,4,un
11/6/2023,6,1,18,4,6,un
11/7/2023,3,0,35,3,10,un
11/8/2023,0,0,22,2,4,un
11/9/2023,17,1,97,0,8,un
11/10/2023,1,1,60,0,3,un
11/11/2023,1,0,12,9,2,un
11/12/2023,3,0,0,5,6,un
11/13/2023,1,0,0,8,0,un
11/14/2023,9,0,24,3,3,un
11/15/2023,1,1,5,1,2,un
11/16/2023,3,4,6,3,2,un
11/17/2023,5,0,23,5,3,un
11/18/2023,7,1,94,60,2,un
11/19/2023,2,0,25,8,1,un
11/20/2023,1,0,8,0,2,un
11/21/2023,0,0,3,0,15,un
11/22/2023,8,0,18,9,6,un
11/23/2023,2,2,38,0,4,un
11/24/2023,2,1,11,0,0,un
11/25/2023,2,0,0,0,0,un
11/26/2023,7,3,110,5,3,un
11/27/2023,9,1,189,127,3,un
11/28/2023,1,2,8,4,0,un
11/29/2023,6,2,32,8,8,un
11/30/2023,3,0,59,1,4,un
12/1/2023,0,0,44,0,3,un
12/2/2023,2,2,41,7,3,un
12/3/2023,1,0,11,4,3,un
12/4/2023,2,0,36,0,6,un
12/5/2023,3,0,12,8,4,un
12/6/2023,4,1,16,2,0,un
12/7/2023,3,1,27,3,2,un
12/8/2023,7,1,19,2,10,un
12/9/2023,2,1,44,0,1,un
12/10/2023,0,0,0,0,0,un
12/11/2023,0,0,41,0,0,un
12/12/2023,6,0,10,6,5,un
12/13/2023,0,0,7,0,7,un
12/14/2023,5,1,14,8,0,un
12/15/2023,2,0,105,3,1,un
